,number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lon,num_bus_stations,num_cafes,num_school_stuff,num_restaurants,num_health_stuff,num_culture_stuff
70,1,ljubljana,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,Prešernov trg 6,False,False,20,0,20,OPEN,1702663040000,46.051367,14.506542,15,81,2,107,3,2
71,60,ljubljana,MERCATOR MARKET - CELOVŠKA C. 163,Celovška 163,False,False,20,11,9,OPEN,1702663083000,46.073264,14.485942,10,7,1,1,2,0
72,44,ljubljana,SAVSKO NASELJE 2-LINHARTOVA CESTA,Topniška 54,False,False,20,19,1,OPEN,1702663035000,46.064546,14.518013,10,5,2,3,3,0
73,5,ljubljana,BREG,Breg 20,False,False,20,20,0,OPEN,1702663062000,46.046498,14.505148,14,51,1,75,6,2
74,36,ljubljana,BTC CITY ATLANTIS,BTC City Atlantis,False,False,20,13,7,OPEN,1702662985000,46.063081,14.547851,14,10,0,7,1,0
75,63,ljubljana,IKEA,Švedska ulica 6,False,False,20,18,2,OPEN,1702663017000,46.065175,14.539537,18,7,0,10,2,0
76,7,ljubljana,MIKLOŠIČEV PARK,Miklošičeva cesta 20,False,False,18,6,12,OPEN,1702663148000,46.054168,14.50706,19,69,2,86,4,3
77,23,ljubljana,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,Devinska ulica 1a,False,False,20,10,10,OPEN,1702662972000,46.04081,14.49951,9,5,1,3,5,0
78,81,ljubljana,LEK - VEROVŠKOVA,Verovškova 57,False,False,20,19,1,OPEN,1702663059000,46.076856,14.500222,12,3,1,1,0,0
79,15,ljubljana,AMBROŽEV TRG,Poljanska cesta 20c,False,False,18,12,6,OPEN,1702663083000,46.049877,14.516308,20,13,2,22,0,1
80,77,ljubljana,VOJKOVA - GASILSKA BRIGADA,Vojkova cesta,False,False,20,12,8,OPEN,1702663040000,46.068727,14.516858,11,3,0,1,1,0
81,61,ljubljana,RAKOVNIK,Rakovnik,False,False,20,6,14,OPEN,1702662972000,46.036284,14.522948,3,3,0,1,1,0
82,50,ljubljana,PREGLOV TRG,Nove Fuzine 33,False,False,20,10,10,OPEN,1702662788000,46.054554,14.55908,10,11,1,5,1,0
83,28,ljubljana,PLEČNIKOV STADION,Dunajska cesta 70,False,False,18,6,12,OPEN,1702663148000,46.06942,14.51052,7,6,0,3,2,0
